scenario,policy_role,status,timestep_s,requested_soc_grid_points,effective_soc_grid_points,action_grid_points,dwell_semantics,minimum_on_time_s,minimum_off_time_s,restart_fuel_per_start_kg,target_energy_change_kwh,continuous_endpoint_energy_change_kwh,discrete_endpoint_energy_change_kwh,ledger_residual_kwh,terminal_target_residual_kwh,discrete_terminal_target_residual_kwh,endpoint_energy_interval_width_kwh,endpoint_target_bracketed,policy_fuel_kg,dual_lower_bound_kg,feasible_upper_bound_kg,optimality_gap_kg,terminal_shadow_price_kg_kwh,lagrangian_value_kg,policy_hash,continuous_constraints_satisfied,continuous_constraint_violations,fuel_consumed_kg,restart_count,dwell_violation_count,engine_off_fraction,engine_on_power_mean_kw,initial_soc,terminal_soc,discrete_terminal_soc,kernel_build_runtime_s,policy_solve_runtime_s,backward_inductions,termination_reason,kernel_cache_hit,on_durations_s,off_durations_s,constraint_encounters,soc_trajectory,discrete_soc_trajectory,engine_power_trajectory_kw,bound_scope
synthetic_conditional_loiter_60s,lower_energy_policy,exploratory_discretised_conditional_loiter,60.0,21,23,5,hard,120.0,120.0,0.1,0.0,-1.1895939138818514,-8.881784197001252e-16,0.010514812767917547,-1.1895939138818514,-8.881784197001252e-16,0.0,False,2.4538227146814404,2.4538227146814413,2.69382271468144,0.23999999999999888,-0.5983379501385042,2.453822714681441,f55d28918905523c,True,[],2.4538227146814404,2,0,0.4166666666666667,28.662445587653345,0.6,0.48242505451053513,0.5999999999999999,0.08489012200016077,0.011611505000928446,6,exact_shadow_supported_target,False,"[60.0, 240.0, 120.0]","[120.0, 120.0, 60.0]","[{""direction"": ""charge"", ""first_time_s"": 0.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.6, ""minimum_power_kw"": 9.999999999999996, ""minimum_soc"": 0.4825966463452961, ""timestep_count"": 5}]","[0.6, 0.6161416671753228, 0.5836283486117659, 0.5475052385899575, 0.5285702708254931, 0.5095327485116169, 0.5260872123851895, 0.5425645745655796, 0.5127093671761138, 0.4825966463452961, 0.49927811163946423, 0.5158806975445889, 0.48242505451053513]","[0.6, 0.6200000000000001, 0.5999999999999999, 0.5725, 0.5725, 0.5725, 0.5999999999999999, 0.6200000000000001, 0.5999999999999999, 0.5725, 0.5999999999999999, 0.6200000000000001, 0.5999999999999999]","[33.2409972299169, 0.0, 0.0, 15.0, 15.0, 35.45706371191136, 33.2409972299169, 0.0, 0.0, 33.2409972299169, 35.45706371191136, 0.0]",discrete SoC/action DP with nearest-grid transitions; continuous replay is diagnostic and is not covered by these bounds
synthetic_conditional_loiter_60s,upper_energy_policy,exploratory_discretised_conditional_loiter,60.0,21,23,5,hard,120.0,120.0,0.1,0.0,-1.1895939138818514,-8.881784197001252e-16,0.010514812767917547,-1.1895939138818514,-8.881784197001252e-16,0.0,False,2.4538227146814404,2.4538227146814413,2.69382271468144,0.23999999999999888,-0.5983379501385042,2.453822714681441,f55d28918905523c,True,[],2.4538227146814404,2,0,0.4166666666666667,28.662445587653345,0.6,0.48242505451053513,0.5999999999999999,0.08489012200016077,0.011611505000928446,6,exact_shadow_supported_target,False,"[60.0, 240.0, 120.0]","[120.0, 120.0, 60.0]","[{""direction"": ""charge"", ""first_time_s"": 0.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.6, ""minimum_power_kw"": 9.999999999999996, ""minimum_soc"": 0.4825966463452961, ""timestep_count"": 5}]","[0.6, 0.6161416671753228, 0.5836283486117659, 0.5475052385899575, 0.5285702708254931, 0.5095327485116169, 0.5260872123851895, 0.5425645745655796, 0.5127093671761138, 0.4825966463452961, 0.49927811163946423, 0.5158806975445889, 0.48242505451053513]","[0.6, 0.6200000000000001, 0.5999999999999999, 0.5725, 0.5725, 0.5725, 0.5999999999999999, 0.6200000000000001, 0.5999999999999999, 0.5725, 0.5999999999999999, 0.6200000000000001, 0.5999999999999999]","[33.2409972299169, 0.0, 0.0, 15.0, 15.0, 35.45706371191136, 33.2409972299169, 0.0, 0.0, 33.2409972299169, 35.45706371191136, 0.0]",discrete SoC/action DP with nearest-grid transitions; continuous replay is diagnostic and is not covered by these bounds
synthetic_conditional_loiter_60s,feasible_upper_bound_policy,exploratory_discretised_conditional_loiter,60.0,21,23,5,hard,120.0,120.0,0.1,0.0,-0.9629447201576813,0.0,0.00908094155407746,-0.9629447201576813,0.0,0.0,False,2.69382271468144,2.4538227146814413,2.69382271468144,0.23999999999999888,,,93f78535743c5f6b,True,[],2.69382271468144,2,0,0.3333333333333333,26.954639889196677,0.6,0.5051303393582418,0.6,0.08489012200016077,0.011611505000928446,6,exact_shadow_supported_target,False,"[60.0, 240.0, 180.0]","[120.0, 120.0]","[{""direction"": ""charge"", ""first_time_s"": 0.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.6, ""minimum_power_kw"": 9.999999999999996, ""minimum_soc"": 0.4825966463452961, ""timestep_count"": 5}]","[0.6, 0.6161416671753228, 0.5836283486117659, 0.5475052385899575, 0.5285702708254931, 0.5095327485116169, 0.5260872123851895, 0.5425645745655796, 0.5127093671761138, 0.4825966463452961, 0.49927811163946423, 0.5158806975445889, 0.5051303393582418]","[0.6, 0.6200000000000001, 0.5999999999999999, 0.5725, 0.5725, 0.5725, 0.5999999999999999, 0.6200000000000001, 0.5999999999999999, 0.5725, 0.5999999999999999, 0.6200000000000001, 0.6]","[33.2409972299169, 0.0, 0.0, 15.0, 15.0, 35.45706371191136, 33.2409972299169, 0.0, 0.0, 33.2409972299169, 35.45706371191136, 15.0]",discrete SoC/action DP with nearest-grid transitions; continuous replay is diagnostic and is not covered by these bounds
