altitude_m,mass_kg,demand_bus_kw,engine_max_shaft_kw,engine_bus_available_kw,surplus_bus_kw,regime,cycling_blocker,charge_side_cycling_candidate,discharge_side_feasible,cycling_feasible,minimum_pack_capacity_kwh,minimum_discharge_c_rate,eta_charge,eta_discharge,round_trip_efficiency,optimal_engine_on_kw,duty_cycle,cycle_to_continuous_fuel_ratio,cycle_benefit_fraction,cycle_active_bound,battery_assist_bus_kw,battery_assist_rate_feasible,assisted_optimal_engine_kw,assisted_endurance_h,assisted_fuel_duration_h,assisted_battery_duration_h,assisted_active_bound,assisted_limiting_source,equal_duration_bus_energy_kwh,fuel_available_kg,idle_fuel_fraction,charge_c_rate,discharge_c_rate,restart_fuel_kg,minimum_on_time_s,minimum_off_time_s,efficiency_evaluation_soc
0.0,716.3898016890586,18.829960440291483,86.7791369750147,78.31817111995076,59.488210679659275,cycling_feasible,,True,True,True,6.276653480097161,1.8829960440291482,0.9960637059853846,0.992472614226044,0.9885659502149964,31.9445545044781,0.6557392972199413,0.8264624886809881,0.17353751131901185,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
100.0,716.3898016890586,18.92066679635093,86.11445923416325,77.71829945883233,58.797632662481405,cycling_feasible,,True,True,True,6.306888932116976,1.892066679635093,0.9960637059853846,0.9924360753613153,0.9885295551779821,32.0450601621617,0.6568316158886707,0.8274363017115616,0.17256369828843843,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
200.0,716.3898016890586,19.012016890366436,85.45338535506178,77.12168028294326,58.10966339257682,cycling_feasible,,True,True,True,6.337338963455479,1.9012016890366437,0.9960637059853846,0.9923992744419794,0.9884928991178848,32.1462791028991,0.6579247844495653,0.8284088980924198,0.1715911019075802,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
300.0,716.3898016890586,19.10401676518714,84.79590389762123,76.52830326760316,57.424286502416024,cycling_feasible,,True,True,True,6.368005588395714,1.910401676518714,0.9960637059853846,0.9923622089745979,0.9884559795510808,32.24821802236802,0.6590187940130848,0.8293802606830482,0.17061973931695185,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
400.0,716.3898016890586,19.19667253428952,84.14200343223848,75.93815809759523,56.741485563305716,cycling_feasible,,True,True,True,6.398890844763173,1.9196672534289518,0.9960637059853846,0.9923248764361067,0.9884187939644373,32.35088369450362,0.6601136356159788,0.8303503723025858,0.1696496276974142,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
500.0,716.3898016890586,19.28999038276596,83.4916725398113,75.3512344671797,56.06124408441373,cycling_feasible,,True,True,True,6.42999679425532,1.928999038276596,0.9960637059853846,0.9922872742733826,0.9883813398148813,32.454282972593866,0.6612093002210869,0.8313192157306163,0.1686807842693837,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
600.0,716.3898016890586,19.38397656832971,82.84489981175217,74.76752208010633,55.38354551177662,cycling_feasible,,True,True,True,6.46132552277657,1.938397656832971,0.9960637059853846,0.9922493999028213,0.9883436145289782,32.55842279039303,0.662305778717141,0.83228677370797,0.16771322629203,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
700.0,716.3898016890586,19.478637422336117,82.20167385000254,74.18701064962728,54.70837322729116,cycling_feasible,,True,True,True,6.492879140778705,1.9478637422336118,0.9960637059853846,0.9922112507098889,0.9883056155024855,32.663310163253314,0.6634030619185713,0.833253028937542,0.16674697106245795,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
800.0,716.3898016890586,19.57397935082059,81.56198326704741,73.60968989851028,54.03571054768969,cycling_feasible,,True,True,True,6.524659783606864,1.957397935082059,0.9960637059853846,0.992172824048693,0.9882673400999261,32.76895218927489,0.6645011405653107,0.8342179640851143,0.16578203591488572,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
900.0,716.3898016890586,19.670008835553798,80.92581668592948,73.03554955905135,53.365540723497546,cycling_feasible,,True,True,True,6.556669611851266,1.9670008835553798,0.9960637059853846,0.9921341172415099,0.9882287856541164,32.875356050475126,0.6656000053226113,0.8351815617802032,0.1648184382197968,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1000.0,716.3898016890586,19.766732435114015,80.29316274026371,72.464579373088,52.697846937973985,cycling_feasible,,True,True,True,6.588910811704672,1.9766732435114016,0.9960637059853846,0.992095127578346,0.9881899494657302,32.98252901397675,0.6666996467808516,0.8361438046169057,0.16385619538309426,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1100.0,716.3898016890586,19.86415678597735,79.66401007425166,71.89676909201212,52.03261230603477,cycling_feasible,,True,True,True,6.621385595325783,1.986415678597735,0.9960637059853846,0.9920558523164416,0.9881508288028042,33.0904784332159,0.6678000554553596,0.8371046751547723,0.16289532484522773,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1200.0,716.3898016890586,19.962288603625925,79.03834734269617,71.33210847678329,51.36981987315737,cycling_feasible,,True,True,True,6.654096201208642,1.9962288603625926,0.9960637059853846,0.9920162886798325,0.9881114209003011,33.199211749170004,0.6689012217862238,0.8380641559196744,0.16193584408032557,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,5.0,0.2,1.0,3.0,0.0,300.0,300.0,0.55
