comparison,battery_mode,timestep_s,strategy,bracket_role,s0_ratio,target_kwh,endpoint_energy_residual_kwh,fuel_consumed_kg,fuel_convergence_order,fuel_convergence_status,pi_to_continuous_gap_kg_low,pi_to_continuous_gap_kg_high,pi_to_ideal_gap_kg_low,pi_to_ideal_gap_kg_high,restart_count,restarts_per_flight_hour,restart_frequency_grows_monotonically
charge_sustaining,physical,30.0,pi_ecms,bracket_lower_ratio,1.5601211428642272,0.0,-0.00022093986518978426,166.05424352382937,,undefined; successive fuel differences change sign,22.742569556633782,22.742731812003882,-0.3126884018157057,-0.31252614644560595,357,34.28767644427269,True
charge_sustaining,physical,30.0,pi_ecms,bracket_upper_ratio,1.5601211440563203,0.0,0.0001940968997296011,166.05440577919947,,undefined; successive fuel differences change sign,22.742569556633782,22.742731812003882,-0.3126884018157057,-0.31252614644560595,357,34.28767644427269,True
mission_depleting,physical,30.0,continuous,point,0.4503285379956911,-4.689742503060938,-5.790923296444817e-13,186.92665963127425,,roundoff-limited or unchanged across timestep,21.43421494764678,21.530075050465115,2.0137934866841363,2.1096535895024715,0,0.0,
mission_depleting,physical,30.0,ideal_analytical_cycle,relaxed_point,,-4.689742503060938,6.306066779870889e-14,163.382791094125,1.9623078326541255,observed three-level order,21.43421494764678,21.530075050465115,2.0137934866841363,2.1096535895024715,,,
mission_depleting,physical,30.0,pi_ecms,bracket_lower_ratio,1.017322611808777,-4.689742503060938,0.05995112694498328,165.49244468362747,,undefined; successive fuel differences change sign,21.43421494764678,21.530075050465115,2.0137934866841363,2.1096535895024715,337,32.366798212100555,True
mission_depleting,physical,30.0,pi_ecms,bracket_upper_ratio,1.01732261300087,-4.689742503060938,-0.08819038219091802,165.39658458080913,0.5756080972131336,observed three-level order,21.43421494764678,21.530075050465115,2.0137934866841363,2.1096535895024715,338,32.46284212370916,True
charge_sustaining,legacy,15.0,continuous,point,,0.0,-0.0,188.79697533583297,,roundoff-limited or unchanged across timestep,22.21294597361151,22.286534317680236,-0.18626629116909044,-0.11267794710036583,0,0.0,
charge_sustaining,legacy,15.0,ideal_analytical_cycle,relaxed_point,,0.0,-0.0,166.69670730932182,,roundoff-limited or unchanged across timestep,22.21294597361151,22.286534317680236,-0.18626629116909044,-0.11267794710036583,,,
charge_sustaining,legacy,15.0,pi_ecms,bracket_lower_ratio,1.5613532471656804,0.0,-0.06495265398020322,166.51044101815273,1.3575125822371237,observed three-level order,22.21294597361151,22.286534317680236,-0.18626629116909044,-0.11267794710036583,695,66.75051856798186,True
charge_sustaining,legacy,15.0,pi_ecms,bracket_upper_ratio,1.5613532483577732,0.0,0.0501040607710479,166.58402936222146,0.5723461926010637,observed three-level order,22.21294597361151,22.286534317680236,-0.18626629116909044,-0.11267794710036583,695,66.75051856798186,True
mission_depleting,legacy,15.0,continuous,point,0.4503420525538873,-4.689742503060938,1.8829382497642655e-13,186.92660350227465,0.9998065536431395,observed three-level order,22.93909207641147,23.012680420480194,0.21298013304709684,0.28656847711582145,0,0.0,
mission_depleting,legacy,15.0,ideal_analytical_cycle,relaxed_point,,-4.689742503060938,9.139355938714289e-13,163.70094294874735,0.9904712038730394,observed three-level order,22.93909207641147,23.012680420480194,0.21298013304709684,0.28656847711582145,,,
mission_depleting,legacy,15.0,pi_ecms,bracket_lower_ratio,1.034846216440201,-4.689742503060938,-0.10657927593514227,163.91392308179445,,undefined; requires the 60/30/15 s series,22.93909207641147,23.012680420480194,0.21298013304709684,0.28656847711582145,692,66.46238683315603,True
mission_depleting,legacy,15.0,pi_ecms,bracket_upper_ratio,1.034846217632294,-4.689742503060938,0.00865619922578631,163.98751142586318,,undefined; requires the 60/30/15 s series,22.93909207641147,23.012680420480194,0.21298013304709684,0.28656847711582145,692,66.46238683315603,True
charge_sustaining,physical,15.0,continuous,point,,0.0,-0.0,188.79697533583297,,roundoff-limited or unchanged across timestep,22.742559361994864,22.74280436392081,-0.3127609537320666,-0.3125159518061196,0,0.0,
charge_sustaining,physical,15.0,ideal_analytical_cycle,relaxed_point,,0.0,-0.0,166.36693192564422,,roundoff-limited or unchanged across timestep,22.742559361994864,22.74280436392081,-0.3127609537320666,-0.3125159518061196,,,
charge_sustaining,physical,15.0,pi_ecms,bracket_lower_ratio,1.557198773622513,0.0,-0.00038718157213057935,166.05417097191216,,undefined; successive fuel differences change sign,22.742559361994864,22.74280436392081,-0.3127609537320666,-0.3125159518061196,713,68.47930897693678,True
charge_sustaining,physical,15.0,pi_ecms,bracket_upper_ratio,1.557198774814606,0.0,0.000239684696166087,166.0544159738381,,undefined; successive fuel differences change sign,22.742559361994864,22.74280436392081,-0.3127609537320666,-0.3125159518061196,713,68.47930897693678,True
mission_depleting,physical,15.0,continuous,point,0.45032853799548633,-4.689742503060938,5.755396159656812e-13,186.92665963127462,,roundoff-limited or unchanged across timestep,21.56286472838633,21.562972284510778,1.9808961816407304,1.9810037377651781,0,0.0,
mission_depleting,physical,15.0,ideal_analytical_cycle,relaxed_point,,-4.689742503060938,-2.1316282072803006e-14,163.3827911651231,1.9623078326541255,observed three-level order,21.56286472838633,21.562972284510778,1.9808961816407304,1.9810037377651781,,,
mission_depleting,physical,15.0,pi_ecms,bracket_lower_ratio,1.0595832109451293,-4.689742503060938,-0.00015725230163443626,165.36368734676384,,undefined; successive fuel differences change sign,21.56286472838633,21.562972284510778,1.9808961816407304,1.9810037377651781,678,65.11777207063552,True
mission_depleting,physical,15.0,pi_ecms,bracket_upper_ratio,1.0595832121372222,-4.689742503060938,0.00011933284872078787,165.3637949028883,0.5756080972131336,observed three-level order,21.56286472838633,21.562972284510778,1.9808961816407304,1.9810037377651781,678,65.11777207063552,True
