candidate_id,stage,soc_low,soc_high,total_time_s,loiter_time_s,mission_complete,feasible,feasibility_reasons_json,termination_reason,final_soc,minimum_soc,final_stored_energy_kwh,fuel_consumed_kg,fuel_remaining_kg,restart_count,loiter_restarts_per_hour,overall_engine_off_fraction,loiter_engine_off_fraction,mean_engine_on_power_kw,minimum_engine_on_power_kw,maximum_engine_on_power_kw,constraint_encounters_json,descent_landing_completed,reserve_shortfall_kg,maximum_power_balance_residual_kw,fuel_ledger_residual_kg,energy_ledger_residual_kwh,discrete_energy_residual_fraction,minimum_transition_margin_s,minimum_bus_supply_margin_kw,failure_flags_json,runtime_s
0.350000000:0.600000000,coarse,0.35,0.6,55854.32539909772,49514.32539909772,True,True,[],fuel_reserve,0.3648097287036092,0.3011177252989392,3.317063586254938,282.6908436217693,5.919354689172096,28,1.9630682477554515,0.19729895440072792,0.21448338262513267,41.35754031011564,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 27314.325399097717, ""steps"": 456}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 38334.32539909772, ""steps"": 640}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",True,0.0,1.3145040611561853e-13,-2.2737367544323206e-13,-0.6862050817107956,1.343642296382703e-16,0.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited""]",0.8056513000046834
0.350000000:0.700000000,coarse,0.35,0.7,55854.32539909772,49514.32539909772,False,False,"[""mission_incomplete"", ""descent_landing_incomplete"", ""reserve_shortfall"", ""terminal_constraint_failure""]",fuel_reserve_shortfall,0.6324382860006857,0.2998143222861131,5.992297002290858,284.2997854159938,4.310412894947596,20,1.454124627967001,0.19228591381704338,0.21448338262513267,41.32284550045171,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 27594.325399097717, ""steps"": 461}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 38334.32539909772, ""steps"": 640}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",False,0.6895871050524036,1.5987211554602254e-13,-2.2737367544323206e-13,-0.6573783344297226,1.3360382025422008e-16,60.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited"", ""fuel_reserve_shortfall""]",0.775507599930279
0.350000000:0.800000000,coarse,0.35,0.8,55434.32539909772,49094.32539909772,True,True,[],fuel_reserve,0.40393229241607803,0.3021368759576124,3.6953643590756804,281.0368596384112,7.573338672530192,15,1.0999234547174865,0.1966290727184968,0.2077633192244141,41.410889215960474,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 27014.325399097717, ""steps"": 451}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 37914.32539909772, ""steps"": 633}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",True,0.0,1.5276668818842154e-13,-2.2737367544323206e-13,-0.6377711583754717,0.0,540.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited""]",0.782881599967368
0.350000000:0.900000000,coarse,0.35,0.9,55194.32539909772,48854.32539909772,True,True,[],fuel_reserve,0.38800763188091003,0.3045796643076813,3.54085101954756,279.79968768264615,8.8105106282953,12,0.8842615192635094,0.19748406962463186,0.203871405830198,41.473507667594845,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 26774.325399097717, ""steps"": 447}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 37674.32539909772, ""steps"": 629}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",True,0.0,1.5987211554602254e-13,-2.2737367544323206e-13,-0.6148396395851705,1.3575260838787423e-16,660.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited""]",0.8082277999492362
0.350000000:1.000000000,coarse,0.35,1.0,50836.08889669913,44496.08889669913,False,False,"[""mission_incomplete"", ""descent_landing_incomplete"", ""reserve_shortfall"", ""terminal_constraint_failure""]",fuel_reserve_shortfall,1.0,0.6695007762201075,10.0,283.7639658837879,4.846232427153568,0,0.0,0.0,0.0,34.124609427621664,16.059657585003364,86.7791369750147,"{""battery"": {""charge:energy"": {""duration_s"": 60.0, ""steps"": 1}, ""charge:legacy_power"": {""duration_s"": 1260.0, ""steps"": 21}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 1320.0, ""steps"": 22}, ""cycling_not_economic"": {""duration_s"": 31996.08889669913, ""steps"": 534}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",False,0.15376757284643183,7.460698725481052e-14,-2.8421709430404007e-13,-0.013813551826387993,1.3385609871475883e-16,50776.08889669913,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited"", ""battery_energy_limited"", ""fuel_reserve_shortfall""]",0.6609871999826282
0.400000000:0.500000000,coarse,0.4,0.5,55734.32539909772,49394.32539909772,True,True,[],fuel_reserve,0.406536533518913,0.3522569669750363,3.720701648855789,282.4101465774278,6.200051733513668,59,4.1543233628968315,0.19700606262613443,0.21257502587922383,41.40752912127397,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 27234.325399097717, ""steps"": 455}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 38214.32539909772, ""steps"": 638}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",True,0.0,1.2789769243681803e-13,-2.2737367544323206e-13,-0.6905250657491706,0.0,100.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited""]",0.7655175999971107
0.400000000:0.700000000,coarse,0.4,0.7,55914.32539909772,49574.32539909772,False,False,"[""mission_incomplete"", ""descent_landing_incomplete"", ""reserve_shortfall"", ""terminal_constraint_failure""]",fuel_reserve_shortfall,0.7105133943672267,0.3526329560385057,6.811299499683712,285.0058803635176,3.604317947423872,23,1.6702193995262518,0.19100650725497872,0.21543409646063247,41.31176616877945,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 27714.325399097717, ""steps"": 463}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 38394.32539909772, ""steps"": 641}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",False,1.3956820525761282,1.5987211554602254e-13,-2.2737367544323206e-13,-0.6464003970718295,2.665456402554555e-16,360.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited"", ""fuel_reserve_shortfall""]",0.5192456999793649
0.400000000:0.800000000,coarse,0.4,0.8,55794.32539909772,49454.32539909772,False,False,"[""mission_incomplete"", ""descent_landing_incomplete"", ""reserve_shortfall"", ""terminal_constraint_failure""]",fuel_reserve_shortfall,0.7927952840029275,0.3530079428682414,7.693280094792641,285.0058803635176,3.604317947423872,17,1.2375055064671165,0.18926655935821696,0.21353036190020833,41.31176616877945,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 27714.325399097717, ""steps"": 463}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 38274.32539909772, ""steps"": 639}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",False,1.3956820525761282,1.5987211554602254e-13,-2.2737367544323206e-13,-0.6245421682938286,0.0,480.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited"", ""fuel_reserve_shortfall""]",0.5687618999509141
0.400000000:0.900000000,coarse,0.4,0.9,55134.32539909772,48794.32539909772,True,True,[],fuel_reserve,0.4040969580016044,0.3566851025841633,3.696965856393967,279.55703163517586,9.053166675765581,14,0.9591279235282839,0.19769898191550886,0.20289244536175238,41.50433298317671,27.139989994975664,86.7791369750147,"{""battery"": {""charge:legacy_power"": {""duration_s"": 26714.325399097717, ""steps"": 446}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 37614.32539909772, ""steps"": 628}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",True,0.0,1.5987211554602254e-13,-2.2737367544323206e-13,-0.6037969833305397,0.0,0.0,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited""]",0.468656700104475
0.400000000:1.000000000,coarse,0.4,1.0,50836.08889669913,44496.08889669913,False,False,"[""mission_incomplete"", ""descent_landing_incomplete"", ""reserve_shortfall"", ""terminal_constraint_failure""]",fuel_reserve_shortfall,1.0,0.6695007762201075,10.0,283.7639658837879,4.846232427153568,0,0.0,0.0,0.0,34.124609427621664,16.059657585003364,86.7791369750147,"{""battery"": {""charge:energy"": {""duration_s"": 60.0, ""steps"": 1}, ""charge:legacy_power"": {""duration_s"": 1260.0, ""steps"": 21}}, ""controller"": {""battery_cannot_carry_full_demand"": {""duration_s"": 16020.0, ""steps"": 267}, ""battery_charge_limit"": {""duration_s"": 1320.0, ""steps"": 22}, ""cycling_not_economic"": {""duration_s"": 31996.08889669913, ""steps"": 534}, ""engine_max"": {""duration_s"": 1500.0, ""steps"": 25}}}",False,0.15376757284643183,7.460698725481052e-14,-2.8421709430404007e-13,-0.013813551826387993,1.3385609871475883e-16,50776.08889669913,17.700723984206064,"[""engine_power_limited"", ""battery_rate_limited"", ""battery_energy_limited"", ""fuel_reserve_shortfall""]",0.4773061000742018
