altitude_m,mass_kg,demand_bus_kw,minimum_pack_capacity_kwh,minimum_discharge_c_rate
0.0,716.3898016890586,18.829960440291483,6.276653480097161,1.8829960440291482
100.0,716.3898016890586,18.92066679635093,6.306888932116976,1.892066679635093
200.0,716.3898016890586,19.012016890366436,6.337338963455479,1.9012016890366437
300.0,716.3898016890586,19.10401676518714,6.368005588395714,1.910401676518714
400.0,716.3898016890586,19.19667253428952,6.398890844763173,1.9196672534289518
500.0,716.3898016890586,19.28999038276596,6.42999679425532,1.928999038276596
600.0,716.3898016890586,19.38397656832971,6.46132552277657,1.938397656832971
700.0,716.3898016890586,19.478637422336117,6.492879140778705,1.9478637422336118
800.0,716.3898016890586,19.57397935082059,6.524659783606864,1.957397935082059
900.0,716.3898016890586,19.670008835553798,6.556669611851266,1.9670008835553798
1000.0,716.3898016890586,19.766732435114015,6.588910811704672,1.9766732435114016
1100.0,716.3898016890586,19.86415678597735,6.621385595325783,1.986415678597735
1200.0,716.3898016890586,19.962288603625925,6.654096201208642,1.9962288603625926
1300.0,716.3898016890586,20.061134683674446,6.687044894558149,2.0061134683674444
1400.0,716.3898016890586,20.160701903015557,6.720233967671852,2.016070190301556
1500.0,716.3898016890586,20.260997220984198,6.753665740328066,2.0260997220984196
1600.0,716.3898016890586,20.362027680541456,6.787342560180485,2.0362027680541455
1700.0,716.3898016890586,20.46380040947831,6.821266803159436,2.046380040947831
1800.0,716.3898016890586,20.566322621639333,6.855440873879778,2.0566322621639332
1900.0,716.3898016890586,20.66960161816734,6.88986720605578,2.066960161816734
2000.0,716.3898016890586,20.773644788768696,6.924548262922898,2.0773644788768695
2100.0,716.3898016890586,20.878459613000157,6.959486537666719,2.0878459613000158
2200.0,716.3898016890586,20.98405366157759,6.994684553859197,2.098405366157759
2300.0,716.3898016890586,21.090434597706675,7.030144865902225,2.1090434597706675
2400.0,716.3898016890586,21.197610178436513,7.065870059478837,2.1197610178436515
2500.0,716.3898016890586,21.305588256036174,7.101862752012058,2.130558825603617
2600.0,716.3898016890586,21.414376779394903,7.138125593131634,2.14143767793949
2700.0,716.3898016890586,21.523983795446142,7.174661265148714,2.152398379544614
2800.0,716.3898016890586,21.634417450616287,7.2114724835387625,2.1634417450616286
2900.0,716.3898016890586,21.74568599229818,7.248561997432727,2.174568599229818
3000.0,716.3898016890586,21.857797770350185,7.285932590116729,2.1857797770350187
3100.0,716.3898016890586,21.970761238621098,7.323587079540366,2.19707612386211
3200.0,716.3898016890586,22.084584956501722,7.361528318833908,2.2084584956501723
3300.0,716.3898016890586,22.199277590503137,7.3997591968343785,2.2199277590503135
3400.0,716.3898016890586,22.31484791586274,7.438282638620913,2.231484791586274
3500.0,716.3898016890586,22.431304818178276,7.477101606059425,2.2431304818178277
3600.0,716.3898016890586,22.54865729507052,7.5162190983568395,2.2548657295070518
3700.0,716.3898016890586,22.666914457875098,7.555638152625033,2.26669144578751
3800.0,716.3898016890586,22.78608553336416,7.595361844454721,2.278608553336416
3900.0,716.3898016890586,22.90617986549854,7.635393288499514,2.290617986549854
4000.0,716.3898016890586,23.02720691721066,7.675735639070219,2.302720691721066
4100.0,716.3898016890586,23.149176272219428,7.716392090739809,2.3149176272219427
4200.0,716.3898016890586,23.272097636877106,7.757365878959035,2.3272097636877107
4300.0,716.3898016890586,23.39598084204923,7.798660280683077,2.339598084204923
4400.0,716.3898016890586,23.520835845028223,7.8402786150094075,2.3520835845028225
4500.0,716.3898016890586,23.646672731481125,7.882224243827042,2.3646672731481124
4600.0,716.3898016890586,23.773501717432428,7.924500572477476,2.3773501717432426
4700.0,716.3898016890586,23.901333151282675,7.967111050427558,2.3901333151282675
4800.0,716.3898016890586,24.03017751586333,8.010059171954444,2.403017751586333
4900.0,716.3898016890586,24.160045430529003,8.053348476843,2.4160045430529005
5000.0,716.3898016890586,24.290947653287596,8.096982551095865,2.4290947653287596
5100.0,716.3898016890586,24.422895082969244,8.140965027656415,2.4422895082969243
5200.0,716.3898016890586,24.55589876143471,8.185299587144904,2.4555898761434714
5300.0,716.3898016890586,24.689969875824286,8.229989958608096,2.4689969875824285
5400.0,716.3898016890586,24.825119760847937,8.275039920282646,2.4825119760847936
5500.0,716.3898016890586,24.961359901117405,8.320453300372469,2.4961359901117404
5600.0,716.3898016890586,25.09870193352143,8.366233977840476,2.509870193352143
5700.0,716.3898016890586,25.23715764964485,8.41238588321495,2.523715764964485
5800.0,716.3898016890586,25.376738998232412,8.458912999410805,2.537673899823241
5900.0,716.3898016890586,25.51745808769848,8.50581936256616,2.551745808769848
6000.0,716.3898016890586,25.65932718868345,8.553109062894483,2.565932718868345
6100.0,716.3898016890586,25.802358736657744,8.600786245552582,2.5802358736657744
6200.0,716.3898016890586,25.946565334574828,8.648855111524943,2.5946565334574827
6300.0,716.3898016890586,26.09195975557377,8.69731991852459,2.6091959755573773
6400.0,716.3898016890586,26.238554945732865,8.746184981910956,2.6238554945732866
6500.0,716.3898016890586,26.38636402687503,8.79545467562501,2.638636402687503
6600.0,716.3898016890586,26.53540029942645,8.84513343314215,2.653540029942645
6700.0,716.3898016890586,26.685677245329305,8.895225748443101,2.6685677245329305
6800.0,716.3898016890586,26.837208531010035,8.945736177003345,2.6837208531010033
6900.0,716.3898016890586,26.990008010404125,8.996669336801375,2.6990008010404125
7000.0,716.3898016890586,27.144089728038722,9.04802990934624,2.7144089728038723
7100.0,716.3898016890586,27.299467922174447,9.099822640724815,2.7299467922174445
7200.0,716.3898016890586,27.45615702800749,9.152052342669164,2.745615702800749
7300.0,716.3898016890586,27.61417168093358,9.204723893644527,2.761417168093358
7400.0,716.3898016890586,27.773526719874916,9.257842239958306,2.7773526719874915
7500.0,716.3898016890586,27.934237190671674,9.311412396890558,2.7934237190671674
7600.0,716.3898016890586,28.09631834953931,9.365439449846436,2.809631834953931
7700.0,716.3898016890586,28.259785666593434,9.419928555531145,2.8259785666593435
7800.0,716.3898016890586,28.42465482944343,9.47488494314781,2.842465482944343
7900.0,716.3898016890586,28.59094174685644,9.530313915618814,2.859094174685644
8000.0,716.3898016890586,28.75866255249356,9.586220850831188,2.875866255249356
8100.0,716.3898016890586,28.92783360871942,9.642611202906474,2.892783360871942
8200.0,716.3898016890586,29.098471510487222,9.69949050349574,2.909847151048722
8300.0,716.3898016890586,29.27059308930056,9.756864363100187,2.927059308930056
8400.0,716.3898016890586,29.44421541725425,9.814738472418084,2.9444215417254247
8500.0,716.3898016890586,29.61935581115534,9.873118603718448,2.961935581115534
8600.0,716.3898016890586,29.79603183672664,9.932010612242214,2.979603183672664
8700.0,716.3898016890586,29.974261312894555,9.991420437631518,2.9974261312894557
8800.0,716.3898016890586,30.154062316162854,10.051354105387619,3.0154062316162853
8900.0,716.3898016890586,30.33545318507473,10.111817728358243,3.033545318507473
9000.0,716.3898016890586,30.518452524764974,10.172817508254992,3.0518452524764976
9100.0,716.3898016890586,30.70307921160444,10.23435973720148,3.070307921160444
9200.0,716.3898016890586,30.88935239793879,10.29645079931293,3.088935239793879
9300.0,716.3898016890586,31.077291516923946,10.359097172307981,3.1077291516923946
9400.0,716.3898016890586,31.2669162874603,10.422305429153434,3.12669162874603
9500.0,716.3898016890586,31.45824671922803,10.486082239742677,3.145824671922803
9600.0,716.3898016890586,31.651303117826036,10.55043437260868,3.1651303117826037
9700.0,716.3898016890586,31.846106090016733,10.615368696672244,3.1846106090016733
9800.0,716.3898016890586,32.04267654907924,10.680892183026414,3.204267654907924
9900.0,716.3898016890586,32.24103572027378,10.747011906757926,3.224103572027378
10000.0,716.3898016890586,32.441205146419456,10.813735048806485,3.2441205146419456
0.0,722.2983474872032,19.063395030935684,6.354465010311895,1.9063395030935684
100.0,722.2983474872032,19.155225871624957,6.385075290541653,1.9155225871624957
200.0,722.2983474872032,19.247708430675086,6.415902810225028,1.9247708430675086
300.0,722.2983474872032,19.340848825848255,6.446949608616085,1.9340848825848256
400.0,722.2983474872032,19.434653246409546,6.478217748803182,1.9434653246409546
500.0,722.2983474872032,19.529127954127834,6.509709318042611,1.9529127954127834
600.0,722.2983474872032,19.62427928429307,6.54142642809769,1.9624279284293071
700.0,722.2983474872032,19.72011364675028,6.573371215583427,1.9720113646750281
800.0,722.2983474872032,19.816637526950352,6.605545842316784,1.9816637526950351
900.0,722.2983474872032,19.913857487018312,6.637952495672771,1.9913857487018312
1000.0,722.2983474872032,20.011780166838975,6.670593388946325,2.0011780166838973
1100.0,722.2983474872032,20.110412285160695,6.703470761720232,2.0110412285160697
1200.0,722.2983474872032,20.20976064071728,6.736586880239094,2.020976064071728
1300.0,722.2983474872032,20.309832113368515,6.769944037789505,2.0309832113368516
1400.0,722.2983474872032,20.410633665259727,6.803544555086575,2.0410633665259725
1500.0,722.2983474872032,20.51217234200056,6.837390780666854,2.051217234200056
1600.0,722.2983474872032,20.61445527386355,6.871485091287849,2.061445527386355
1700.0,722.2983474872032,20.717489677002714,6.905829892334238,2.0717489677002714
1800.0,722.2983474872032,20.821282854692512,6.940427618230838,2.0821282854692513
1900.0,722.2983474872032,20.925842198587848,6.975280732862616,2.092584219858785
2000.0,722.2983474872032,21.031175190005115,7.010391730001705,2.1031175190005116
2100.0,722.2983474872032,21.137289401224965,7.045763133741655,2.1137289401224963
2200.0,722.2983474872032,21.24419249681724,7.08139749893908,2.1244192496817242
2300.0,722.2983474872032,21.351892234988238,7.117297411662746,2.135189223498824
2400.0,722.2983474872032,21.46039646895099,7.15346548965033,2.146039646895099
2500.0,722.2983474872032,21.569713148318986,7.189904382772995,2.1569713148318987
2600.0,722.2983474872032,21.679850320523663,7.226616773507888,2.1679850320523664
2700.0,722.2983474872032,21.790816132256115,7.263605377418705,2.1790816132256117
2800.0,722.2983474872032,21.902618830933793,7.300872943644598,2.1902618830933793
2900.0,722.2983474872032,22.015266766192298,7.3384222553974325,2.20152667661923
3000.0,722.2983474872032,22.12876839140297,7.376256130467657,2.2128768391402973
3100.0,722.2983474872032,22.243132265216822,7.414377421738941,2.2243132265216823
3200.0,722.2983474872032,22.358367053135172,7.452789017711724,2.2358367053135173
3300.0,722.2983474872032,22.474481529107674,7.491493843035891,2.2474481529107675
3400.0,722.2983474872032,22.591484577158134,7.530494859052712,2.2591484577158134
3500.0,722.2983474872032,22.709385193038877,7.569795064346292,2.2709385193038876
