strategy,fuel_consumed_kg,average_fuel_rate_kg_h,battery_ohmic_loss_kwh,recirculated_round_trip_loss_kwh,engine_off_fraction,restart_count,restart_count_status,initial_soc,terminal_soc,minimum_soc,maximum_soc,battery_energy_change_kwh,internal_ledger_energy_change_kwh,euler_energy_residual_kwh,target_battery_energy_change_kwh,terminal_energy_shortfall_kwh,battery_mode,battery_capacity_kwh,i_charge_max_a,i_discharge_max_a,terminal_voltage_min_v,terminal_voltage_max_v,q_nominal_ah,timestep_s,constraint_encounters,calibration_parameter_value,engine_shaft_power_mean_kw,engine_shaft_power_minimum_kw,engine_shaft_power_maximum_kw,strategy_construction,comparison,comparison_battery_mode,comparison_timestep_s,comparison_initial_soc,comparison_target_battery_energy_change_kwh,energy_match_tolerance_kwh,pi_s0_ratio_lower,pi_s0_ratio_upper,pi_s0_ratio_bracket_width,pi_endpoint_energy_bracket_width_kwh,pi_exact_match,pi_to_continuous_gap_kg_low,pi_to_continuous_gap_kg_high,pi_to_continuous_gap_fraction_low,pi_to_continuous_gap_fraction_high,pi_to_ideal_gap_kg_low,pi_to_ideal_gap_kg_high,pi_to_ideal_gap_fraction_low,pi_to_ideal_gap_fraction_high,cycling_benefit_captured_fraction_low,cycling_benefit_captured_fraction_high,fuel_gap_status,bracket_role
continuous,186.92643518811775,17.953146018519583,0.000964937293706152,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.06367471452866905,0.06367471452866905,0.559342988331593,-4.68974250306136,-4.6903051687188295,0.0005626656574690969,-4.689742503060938,-4.227729277772596e-13,legacy,10.0,,,,,,60.0,[],0.450382578689681,28.175065807689634,23.971341656079947,32.738342316275336,engine continuously supplies demand minus a solved constant battery bus-power assist,mission_depleting,legacy,60.0,0.559342988331593,-4.689742503060938,1e-12,1.0,1.0,0.0,0.0,True,23.319420046793056,23.319420046793056,0.12475185772052529,0.12475185772052529,-0.0807653102417305,-0.0807653102417305,-0.000493410748309512,-0.000493410748309512,1.003475472705169,1.003475472705169,valid point gap: endpoint stored energy passes the numerical gate,point
ideal_analytical_cycle,163.68778045156643,15.721214717099311,1.0994980748999852,1.0518567911615833,0.29103236681417727,,undefined; relaxed duty fractions and depletion tail specify no cycle period or SoC band,0.559342988331593,0.06367471452871964,0.06367471452871964,0.559342988331593,-4.689742503060918,-4.716902582365519,0.027160079304600515,-4.689742503060938,1.9539925233402755e-14,legacy,10.0,,,,,,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 613}]",,,,,relaxed charge-sustaining duty fractions followed by a solved engine-OFF depletion tail within the same logged window,mission_depleting,legacy,60.0,0.559342988331593,-4.689742503060938,1e-12,1.0,1.0,0.0,0.0,True,23.319420046793056,23.319420046793056,0.12475185772052529,0.12475185772052529,-0.0807653102417305,-0.0807653102417305,-0.000493410748309512,-0.000493410748309512,1.003475472705169,1.003475472705169,valid point gap: endpoint stored energy passes the numerical gate,relaxed_point
pi_ecms,163.6070151413247,15.713457700781413,1.4514246590760553,1.376781220167473,0.2897324666859638,174,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.06367471452871735,0.05000527247581649,0.559342988331593,-4.689742503060938,-5.536301371512536,0.8465588684515986,-4.689742503060938,0.0,legacy,10.0,,,,,,60.0,"[{""direction"": ""charge"", ""first_time_s"": 18120.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.000000000000119, ""maximum_soc"": 0.13918040996958428, ""minimum_power_kw"": 9.999999999999902, ""minimum_soc"": 0.05000527247581649, ""timestep_count"": 444}]",1.0,28.239392722690596,0.0,44.317713594601855,unchanged PI-ECMS replay,mission_depleting,legacy,60.0,0.559342988331593,-4.689742503060938,1e-12,1.0,1.0,0.0,0.0,True,23.319420046793056,23.319420046793056,0.12475185772052529,0.12475185772052529,-0.0807653102417305,-0.0807653102417305,-0.000493410748309512,-0.000493410748309512,1.003475472705169,1.003475472705169,valid point gap: endpoint stored energy passes the numerical gate,point
continuous,186.92665963127368,17.95316757491821,0.0009649381579176091,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.0636747145287717,0.0636747145287717,0.559342988331593,-4.6897425030604625,-4.689742503060458,-4.440892098500626e-15,-4.689742503060938,4.75175454539567e-13,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,[],0.4503285379958959,28.175125686574713,23.971401534965022,32.73840219516042,engine continuously supplies demand minus a solved constant battery bus-power assist,mission_depleting,physical,60.0,0.559342988331593,-4.689742503060938,1e-12,0.9613407886028289,0.9613407897949218,1.19209286886246e-09,0.08905801864505669,False,21.480710941827994,21.481208413253057,0.11491518108867,0.11491784240742488,2.0626604005645106,2.0631578719895742,0.012624710290749496,0.012627755112193509,0.9123696326927061,0.9123907622457544,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,163.3827908174561,15.691922319639279,1.1219310317941686,1.0740074765701308,0.2950262048287176,,undefined; relaxed duty fractions and depletion tail specify no cycle period or SoC band,0.559342988331593,0.06367471452868123,0.06367471452868123,0.559342988331593,-4.689742503061254,-4.689742503061255,8.881784197001252e-16,-4.689742503060938,-3.161915174132446e-13,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""current"", ""maximum_power_kw"": 10.210367721763737, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.210367721763737, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 613}]",,,,,relaxed charge-sustaining duty fractions followed by a solved engine-OFF depletion tail within the same logged window,mission_depleting,physical,60.0,0.559342988331593,-4.689742503060938,1e-12,0.9613407886028289,0.9613407897949218,1.19209286886246e-09,0.08905801864505669,False,21.480710941827994,21.481208413253057,0.11491518108867,0.11491784240742488,2.0626604005645106,2.0631578719895742,0.012624710290749496,0.012627755112193509,0.9123696326927061,0.9123907622457544,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
pi_ecms,165.4459486894457,15.890076071931247,1.254758019275339,1.193988228097865,0.27006627177458636,169,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.05807805363480652,0.050318278777369226,0.5693039706330915,-4.7386873235177545,-4.738687323517766,1.1546319456101628e-14,-4.689742503060938,-0.04894482045681681,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17880.0, ""limit"": ""current"", ""maximum_power_kw"": 10.215018147387063, ""maximum_soc"": 0.5526373039664249, ""minimum_power_kw"": 8.779820932561194, ""minimum_soc"": 0.050318278777369226, ""timestep_count"": 453}]",0.9613407886028289,28.303345453719984,0.0,44.555585528866466,unchanged PI-ECMS replay,mission_depleting,physical,60.0,0.559342988331593,-4.689742503060938,1e-12,0.9613407886028289,0.9613407897949218,1.19209286886246e-09,0.08905801864505669,False,21.480710941827994,21.481208413253057,0.11491518108867,0.11491784240742488,2.0626604005645106,2.0631578719895742,0.012624710290749496,0.012627755112193509,0.9123696326927061,0.9123907622457544,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
pi_ecms,165.44545121802062,15.89002829282967,1.257701145377521,1.1979989261739945,0.2705236843642425,170,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.06825390005038302,0.05016506229951924,0.5676482082163965,-4.649629304872698,-4.649629304872718,2.042810365310288e-14,-4.689742503060938,0.040113198188239885,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17760.0, ""limit"": ""current"", ""maximum_power_kw"": 10.210287397625077, ""maximum_soc"": 0.5509815415497299, ""minimum_power_kw"": 8.77938317119591, ""minimum_soc"": 0.05016506229951924, ""timestep_count"": 455}]",0.9613407897949218,28.31313620143632,0.0,44.55017587136729,unchanged PI-ECMS replay,mission_depleting,physical,60.0,0.559342988331593,-4.689742503060938,1e-12,0.9613407886028289,0.9613407897949218,1.19209286886246e-09,0.08905801864505669,False,21.480710941827994,21.481208413253057,0.11491518108867,0.11491784240742488,2.0626604005645106,2.0631578719895742,0.012624710290749496,0.012627755112193509,0.9123696326927061,0.9123907622457544,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_upper_ratio
continuous,186.9265473925403,17.953156795071223,0.0009649377278231581,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.06367471452863929,0.06367471452863929,0.559342988331593,-4.6897425030616215,-4.690023878900752,0.000281375839130682,-4.689742503060938,-6.838973831690964e-13,legacy,10.0,,,,,,30.0,[],0.4503555624735518,28.175095742555147,23.971371590945463,32.73837225114086,engine continuously supplies demand minus a solved constant battery bus-power assist,mission_depleting,legacy,30.0,0.559342988331593,-4.689742503060938,1e-12,0.9872403335571289,0.9872403347492218,1.19209286886246e-09,0.00019537338207165078,False,23.04439563940977,23.044459480905743,0.1232804861634619,0.12328082769598825,0.18555180237333957,0.18561564386931195,0.0011335108657979836,0.001133900864862654,0.9920096619151055,0.9920124101486382,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,163.69653610926122,15.722055644713025,1.0996916987829535,1.0519107239078096,0.29099166133791415,,undefined; relaxed duty fractions and depletion tail specify no cycle period or SoC band,0.559342988331593,0.06367471452879898,0.06367471452879898,0.559342988331593,-4.6897425030602236,-4.703444490346638,0.013701987286414585,-4.689742503060938,7.140954494389007e-13,legacy,10.0,,,,,,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 1225}]",,,,,relaxed charge-sustaining duty fractions followed by a solved engine-OFF depletion tail within the same logged window,mission_depleting,legacy,30.0,0.559342988331593,-4.689742503060938,1e-12,0.9872403335571289,0.9872403347492218,1.19209286886246e-09,0.00019537338207165078,False,23.04439563940977,23.044459480905743,0.1232804861634619,0.12328082769598825,0.18555180237333957,0.18561564386931195,0.0011335108657979836,0.001133900864862654,0.9920096619151055,0.9920124101486382,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
pi_ecms,163.88208791163456,15.739876765618988,1.4653775334841812,1.3953656772291936,0.2884746881662357,344,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.0636648464225046,0.05003725404426768,0.559342988331593,-4.6898288819717795,-5.117073227047044,0.4272443450752643,-4.689742503060938,-8.637891084184446e-05,legacy,10.0,,,,,,30.0,"[{""direction"": ""charge"", ""first_time_s"": 18120.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.000000000000115, ""maximum_soc"": 0.12753235055351073, ""minimum_power_kw"": 9.999999999999876, ""minimum_soc"": 0.05003725404426768, ""timestep_count"": 889}]",0.9872403335571289,28.285491780294173,0.0,44.317713594601855,unchanged PI-ECMS replay,mission_depleting,legacy,30.0,0.559342988331593,-4.689742503060938,1e-12,0.9872403335571289,0.9872403347492218,1.19209286886246e-09,0.00019537338207165078,False,23.04439563940977,23.044459480905743,0.1232804861634619,0.12328082769598825,0.18555180237333957,0.18561564386931195,0.0011335108657979836,0.001133900864862654,0.9920096619151055,0.9920124101486382,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
