strategy,fuel_consumed_kg,average_fuel_rate_kg_h,battery_ohmic_loss_kwh,recirculated_round_trip_loss_kwh,engine_off_fraction,restart_count,restart_count_status,initial_soc,terminal_soc,minimum_soc,maximum_soc,battery_energy_change_kwh,internal_ledger_energy_change_kwh,euler_energy_residual_kwh,target_battery_energy_change_kwh,terminal_energy_shortfall_kwh,battery_mode,battery_capacity_kwh,i_charge_max_a,i_discharge_max_a,terminal_voltage_min_v,terminal_voltage_max_v,q_nominal_ah,timestep_s,constraint_encounters,calibration_parameter_value,engine_shaft_power_mean_kw,engine_shaft_power_minimum_kw,engine_shaft_power_maximum_kw,strategy_construction,comparison,comparison_battery_mode,comparison_timestep_s,comparison_initial_soc,comparison_target_battery_energy_change_kwh,energy_match_tolerance_kwh,pi_s0_ratio_lower,pi_s0_ratio_upper,pi_s0_ratio_bracket_width,pi_endpoint_energy_bracket_width_kwh,pi_exact_match,pi_to_continuous_gap_kg_low,pi_to_continuous_gap_kg_high,pi_to_continuous_gap_fraction_low,pi_to_continuous_gap_fraction_high,pi_to_ideal_gap_kg_low,pi_to_ideal_gap_kg_high,pi_to_ideal_gap_fraction_low,pi_to_ideal_gap_fraction_high,cycling_benefit_captured_fraction_low,cycling_benefit_captured_fraction_high,fuel_gap_status,bracket_role
pi_ecms,166.40755050618196,15.982432071820542,1.0292678096632333,1.0255305395891696,0.2785273436649595,349,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5517181352660581,0.5482097332132329,0.6877840984190862,-0.07745828029638524,-0.37763793869949325,0.300179658403108,0.0,-0.07745828029638524,legacy,10.0,,,,,,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0000000000002, ""maximum_soc"": 0.6798871819751264, ""minimum_power_kw"": 9.99999999999983, ""minimum_soc"": 0.5482097332132329, ""timestep_count"": 902}]",1.567304408550262,28.743451026989412,0.0,44.317713594601855,unchanged PI-ECMS replay,charge_sustaining,legacy,30.0,0.559342988331593,0.0,1e-12,1.567304408550262,1.5673044097423552,1.1920930909070648e-09,0.15324149633515116,False,22.291276682185526,22.38942482965129,0.11807009430386087,0.11858995510825764,-0.289156803140429,-0.19100865567466485,-0.0017346281627739035,-0.001145845402454346,1.0086428207769036,1.013083859561955,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
pi_ecms,166.50569865364773,15.991858603820292,1.0285196128384064,1.0263016083561922,0.27806993107530337,348,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.56678717613098,0.5500820826393591,0.6877840984190862,0.07578321603876592,-0.22408606682570564,0.29986928286447156,0.0,0.07578321603876592,legacy,10.0,,,,,,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0000000000002, ""maximum_soc"": 0.6798871819751264, ""minimum_power_kw"": 9.99999999999983, ""minimum_soc"": 0.5500820826393591, ""timestep_count"": 902}]",1.5673044097423552,28.759712370656857,0.0,44.317713594601855,unchanged PI-ECMS replay,charge_sustaining,legacy,30.0,0.559342988331593,0.0,1e-12,1.567304408550262,1.5673044097423552,1.1920930909070648e-09,0.15324149633515116,False,22.291276682185526,22.38942482965129,0.11807009430386087,0.11858995510825764,-0.289156803140429,-0.19100865567466485,-0.0017346281627739035,-0.001145845402454346,1.0086428207769036,1.013083859561955,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_upper_ratio
continuous,188.79697533583325,18.13280001112712,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,0.0,-0.0,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,30.0,[],,28.674104676043832,24.470380524434162,33.237381184629555,engine load-following; battery idle,charge_sustaining,physical,30.0,0.559342988331593,0.0,1e-12,1.5601211428642272,1.5601211440563203,1.1920930909070648e-09,0.00041503676491938535,False,22.742569556633782,22.742731812003882,0.1204604550267776,0.12046131444398919,-0.3126884018157057,-0.31252614644560595,-0.0018795105385213003,-0.0018785352523377921,1.0139333723404054,1.0139406061815144,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,166.36693192564508,15.97853090446179,1.0928035222151589,1.0928035222151493,0.281190942789197,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,0.0,-0.0,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""current"", ""maximum_power_kw"": 10.210367721763737, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.210367721763737, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 1250}]",,,,,relaxed charge-sustaining duty fractions; cycle period and restart count undefined,charge_sustaining,physical,30.0,0.559342988331593,0.0,1e-12,1.5601211428642272,1.5601211440563203,1.1920930909070648e-09,0.00041503676491938535,False,22.742569556633782,22.742731812003882,0.1204604550267776,0.12046131444398919,-0.3126884018157057,-0.31252614644560595,-0.0018795105385213003,-0.0018785352523377921,1.0139333723404054,1.0139406061815144,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
pi_ecms,166.05424352382937,15.948499087236765,1.0714326862356227,1.0714304841266653,0.28493027110553326,357,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5593212626397805,0.547417132004759,0.6926763216649254,-0.00022093986518978426,-0.00022093986490290263,-2.8688162956314045e-13,0.0,-0.00022093986518978426,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""current"", ""maximum_power_kw"": 10.579415340811352, ""maximum_soc"": 0.6843429883315921, ""minimum_power_kw"": 10.188198608448971, ""minimum_soc"": 0.547417132004759, ""timestep_count"": 894}]",1.5601211428642272,28.7881028658306,0.0,44.95972505256457,unchanged PI-ECMS replay,charge_sustaining,physical,30.0,0.559342988331593,0.0,1e-12,1.5601211428642272,1.5601211440563203,1.1920930909070648e-09,0.00041503676491938535,False,22.742569556633782,22.742731812003882,0.1204604550267776,0.12046131444398919,-0.3126884018157057,-0.31252614644560595,-0.0018795105385213003,-0.0018785352523377921,1.0139333723404054,1.0139406061815144,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
pi_ecms,166.05440577919947,15.94851467087719,1.0714244146693284,1.0714236487366122,0.28493027110553326,357,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5593620743631976,0.5474579437281761,0.6926763216649254,0.0001940968997296011,0.0001940969000173709,-2.877698079828406e-13,0.0,0.0001940968997296011,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""current"", ""maximum_power_kw"": 10.579415340811352, ""maximum_soc"": 0.6843429883315921, ""minimum_power_kw"": 10.188315213373023, ""minimum_soc"": 0.5474579437281761, ""timestep_count"": 894}]",1.5601211440563203,28.78814615372066,0.0,44.95972505256457,unchanged PI-ECMS replay,charge_sustaining,physical,30.0,0.559342988331593,0.0,1e-12,1.5601211428642272,1.5601211440563203,1.1920930909070648e-09,0.00041503676491938535,False,22.742569556633782,22.742731812003882,0.1204604550267776,0.12046131444398919,-0.3126884018157057,-0.31252614644560595,-0.0018795105385213003,-0.0018785352523377921,1.0139333723404054,1.0139406061815144,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_upper_ratio
continuous,188.79697533583297,18.13280001112709,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,0.0,-0.0,legacy,10.0,,,,,,15.0,[],,28.674104676044013,24.470380524434162,33.237381184629555,engine load-following; battery idle,charge_sustaining,legacy,15.0,0.559342988331593,0.0,1e-12,1.5613532471656804,1.5613532483577732,1.19209286886246e-09,0.11505671475125112,False,22.21294597361151,22.286534317680236,0.11765520042945082,0.11804497544537905,-0.18626629116909044,-0.11267794710036583,-0.001117396343189043,-0.0006759458475162381,1.0050984878086184,1.0084282367501447,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,166.69670730932182,16.010203822262334,1.0703759301240496,1.070375930124058,0.27702556058858163,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,0.0,-0.0,legacy,10.0,,,,,,15.0,"[{""direction"": ""charge"", ""first_time_s"": 17595.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 2499}]",,,,,relaxed charge-sustaining duty fractions; cycle period and restart count undefined,charge_sustaining,legacy,15.0,0.559342988331593,0.0,1e-12,1.5613532471656804,1.5613532483577732,1.19209286886246e-09,0.11505671475125112,False,22.21294597361151,22.286534317680236,0.11765520042945082,0.11804497544537905,-0.18626629116909044,-0.11267794710036583,-0.001117396343189043,-0.0006759458475162381,1.0050984878086184,1.0084282367501447,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
pi_ecms,166.51044101815273,15.992314079057627,1.0317195699718218,1.0295784194821493,0.2780699310753078,695,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5529502741804777,0.5523327694657538,0.679821781330651,-0.06495265398020322,-0.21539717961051963,0.1504445256303164,0.0,-0.06495265398020322,legacy,10.0,,,,,,15.0,"[{""direction"": ""charge"", ""first_time_s"": 17595.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.000000000000206, ""maximum_soc"": 0.6758690385697602, ""minimum_power_kw"": 9.999999999999828, ""minimum_soc"": 0.5523327694657538, ""timestep_count"": 1804}]",1.5613532471656804,28.760977579649378,0.0,44.317713594601855,unchanged PI-ECMS replay,charge_sustaining,legacy,15.0,0.559342988331593,0.0,1e-12,1.5613532471656804,1.5613532483577732,1.19209286886246e-09,0.11505671475125112,False,22.21294597361151,22.286534317680236,0.11765520042945082,0.11804497544537905,-0.18626629116909044,-0.11267794710036583,-0.001117396343189043,-0.0006759458475162381,1.0050984878086184,1.0084282367501447,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
pi_ecms,166.58402936222146,15.999381791470787,1.031160266449698,1.0301634065715746,0.27772697773489224,695,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5642664534410173,0.5523327694657538,0.679821781330651,0.0501040607710479,-0.10027056427648517,0.15037462504753307,0.0,0.0501040607710479,legacy,10.0,,,,,,15.0,"[{""direction"": ""charge"", ""first_time_s"": 17595.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.000000000000206, ""maximum_soc"": 0.6758690385697602, ""minimum_power_kw"": 9.999999999999828, ""minimum_soc"": 0.5523327694657538, ""timestep_count"": 1805}]",1.5613532483577732,28.773169815404387,0.0,44.317713594601855,unchanged PI-ECMS replay,charge_sustaining,legacy,15.0,0.559342988331593,0.0,1e-12,1.5613532471656804,1.5613532483577732,1.19209286886246e-09,0.11505671475125112,False,22.21294597361151,22.286534317680236,0.11765520042945082,0.11804497544537905,-0.18626629116909044,-0.11267794710036583,-0.001117396343189043,-0.0006759458475162381,1.0050984878086184,1.0084282367501447,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_upper_ratio
continuous,188.79697533583297,18.13280001112709,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,0.0,-0.0,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,15.0,[],,28.674104676044013,24.470380524434162,33.237381184629555,engine load-following; battery idle,charge_sustaining,physical,15.0,0.559342988331593,0.0,1e-12,1.557198773622513,1.557198774814606,1.19209286886246e-09,0.0006268662682966664,False,22.742559361994864,22.74280436392081,0.12046040102888454,0.12046169872936684,-0.3127609537320666,-0.3125159518061196,-0.001879946634297803,-0.001878473974297939,1.0139329178321679,1.0139438407680477,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,166.36693192564422,15.978530904461708,1.0928035222151589,1.0928035222151493,0.2811909427891953,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,0.0,-0.0,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,15.0,"[{""direction"": ""charge"", ""first_time_s"": 17595.0, ""limit"": ""current"", ""maximum_power_kw"": 10.210367721763737, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.210367721763737, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 2499}]",,,,,relaxed charge-sustaining duty fractions; cycle period and restart count undefined,charge_sustaining,physical,15.0,0.559342988331593,0.0,1e-12,1.557198773622513,1.557198774814606,1.19209286886246e-09,0.0006268662682966664,False,22.742559361994864,22.74280436392081,0.12046040102888454,0.12046169872936684,-0.3127609537320666,-0.3125159518061196,-0.001879946634297803,-0.001878473974297939,1.0139329178321679,1.0139438407680477,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
pi_ecms,166.05417097191216,15.948492119066842,1.0714170443158029,1.0714131853949596,0.2849302711055381,713,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5593049154975165,0.5515674515291616,0.6852895067015358,-0.00038718157213057935,-0.0003871815719804772,-1.5010215292932116e-13,0.0,-0.00038718157213057935,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,15.0,"[{""direction"": ""charge"", ""first_time_s"": 17595.0, ""limit"": ""current"", ""maximum_power_kw"": 10.564262536154047, ""maximum_soc"": 0.6811228400348691, ""minimum_power_kw"": 10.194104283280595, ""minimum_soc"": 0.5515674515291616, ""timestep_count"": 1787}]",1.557198773622513,28.788083509802917,0.0,44.941434487638375,unchanged PI-ECMS replay,charge_sustaining,physical,15.0,0.559342988331593,0.0,1e-12,1.557198773622513,1.557198774814606,1.19209286886246e-09,0.0006268662682966664,False,22.742559361994864,22.74280436392081,0.12046040102888454,0.12046169872936684,-0.3127609537320666,-0.3125159518061196,-0.001879946634297803,-0.001878473974297939,1.0139329178321679,1.0139438407680477,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
pi_ecms,166.0544159738381,15.948515650010162,1.07140438426583,1.0714034384472626,0.2849302711055381,713,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5593665571099291,0.5516290931415743,0.6852895067015358,0.000239684696166087,0.00023968469632507095,-1.5898393712632242e-13,0.0,0.000239684696166087,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,15.0,"[{""direction"": ""charge"", ""first_time_s"": 17595.0, ""limit"": ""current"", ""maximum_power_kw"": 10.564262536154047, ""maximum_soc"": 0.6811228400348691, ""minimum_power_kw"": 10.194280402173206, ""minimum_soc"": 0.5516290931415743, ""timestep_count"": 1787}]",1.557198774814606,28.78814887353449,0.0,44.941434487638375,unchanged PI-ECMS replay,charge_sustaining,physical,15.0,0.559342988331593,0.0,1e-12,1.557198773622513,1.557198774814606,1.19209286886246e-09,0.0006268662682966664,False,22.742559361994864,22.74280436392081,0.12046040102888454,0.12046169872936684,-0.3127609537320666,-0.3125159518061196,-0.001879946634297803,-0.001878473974297939,1.0139329178321679,1.0139438407680477,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_upper_ratio
