scenario,timestep_s,horizon_s,energy_grid_points,action_grid_points,dp_average_fuel_kg_h,analytical_average_fuel_kg_h,fuel_error_fraction,dp_mean_engine_power_kw,analytical_mean_engine_power_kw,dp_engine_off_fraction,analytical_engine_off_fraction,duty_error,terminal_energy_error_kwh,terminal_energy_tolerance_kwh,restart_count,runtime_s,policy_memory_bytes
coarse,120,14400,201,9,15.602706832871677,15.68429917121015,-0.0052021666666650975,27.79316712834719,27.93850790287593,0.2833333333333333,0.27958561764727075,-0.0037477156860625804,-0.5281387478849435,0.05,undefined,0.015386397997644963,48240
dt_60,60,14400,201,9,15.687187557710034,15.68429917121015,0.00018415782996455867,27.937442289935372,27.93850790287593,0.2791666666666667,0.27958561764727075,0.00041895098060407143,-0.0025227368866342914,0.05,undefined,0.029739388002781197,96480
energy_401,60,14400,401,9,15.685109995383165,15.68429917121015,5.1696551064514605e-05,27.931671283471847,27.93850790287593,0.2791666666666667,0.27958561764727075,0.00041895098060407143,-0.0230435702199685,0.025,undefined,0.03537605000019539,192480
action_17,60,14400,401,17,15.685109995383165,15.68429917121015,5.1696551064514605e-05,27.931671283471847,27.93850790287593,0.2791666666666667,0.27958561764727075,0.00041895098060407143,-0.0230435702199685,0.025,undefined,0.05999187400084338,192480
fine,30,14400,801,33,15.686927862419145,15.68429917121015,0.00016760017010008534,27.93672091412743,27.93850790287593,0.2791666666666667,0.27958561764727075,0.00041895098060407143,-0.00508784105330129,0.0125,undefined,0.3057404739993217,768960
