capacity_kwh,idle_fuel_fraction,pack_mass_delta_kg,fuel_capacity_cost_kg,discharge_enabling_benefit_kg,charge_ceiling_benefit_kg,gross_operational_benefit_kg,net_fuel_benefit_kg,loiter_endurance_h,endurance_change_h
10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,16.090410945603416,0.0
10.25,0.05,1.3333333333333286,1.2461059190030142,0.29603738367109145,0.09404947788368645,0.3900868615547779,-0.8560190574482363,16.018201398817933,-0.07220954678548352
10.5,0.05,2.6666666666666643,2.492211838006199,0.5725808995105126,0.19661175938074393,0.7691926588912565,-1.7230191791149423,15.94516602735283,-0.1452449182505866
10.75,0.05,4.0,3.7383177570093267,0.8313784617165538,0.3065807216976282,1.137959183414182,-2.6003585735951447,15.871361819515114,-0.21904912608830251
11.0,0.05,5.333333333333329,4.984423676012398,1.073870657536986,0.4231029023538895,1.4969735598908755,-3.487450116121522,15.796841108039944,-0.29356983756347255
11.210476464413189,0.05,6.455874476870335,6.033527548476968,1.2663777542915113,0.5256667075465202,1.7920444618380316,-4.241483086638937,15.733580780396176,-0.3568301652072403
11.25,0.05,6.666666666666664,6.2305295950155255,1.2687739368784605,0.5424758983795073,1.8112498352579678,-4.419279759757558,15.71865198872626,-0.3717589568771569
11.5,0.05,8.0,7.476635514018653,1.2835465738056655,0.648234101274852,1.9317806750805175,-5.544854838938136,15.624195022031163,-0.4662159235722534
11.75,0.05,9.333333333333329,8.722741433021724,1.2976866248724264,0.7530089558964619,2.0506955807688882,-6.672045852252836,15.52970443985436,-0.5607065057490566
12.0,0.05,10.666666666666664,9.968847352024852,1.3112338756868667,0.8567937054766617,2.1680275811635283,-7.800819770861324,15.435185905847286,-0.6552250397561306
12.25,0.05,11.999999999999993,11.214953271028037,1.3242248436239379,0.9596545071721039,2.2838793507960418,-8.931073920231995,15.340644898497978,-0.7497660471054388
12.5,0.05,13.333333333333336,12.461059190031051,1.3366931067026826,1.061540095883629,2.3982332025863116,-10.06282598744474,15.24608671793868,-0.8443242276647371
12.75,0.05,14.666666666666664,13.707165109034236,1.3486695935259831,1.1624272083562346,2.5110968018822177,-11.196068307152018,15.151516492441196,-0.9388944531622201
13.0,0.05,15.999999999999993,14.953271028037364,1.3601828395652547,1.262324235131473,2.6225070746967276,-12.330763953340636,15.056939184618646,-1.0334717609847708
13.25,0.05,17.333333333333336,16.199376947040435,1.3712666250929715,1.3613003010175362,2.7325669261105077,-13.466810020929927,14.962359597351435,-1.1280513482519812
13.5,0.05,18.666666666666664,17.445482866043562,1.3819390495273183,1.4592827730265299,2.841221822553848,-14.604261043489714,14.867782379453093,-1.2226285661503233
13.75,0.05,19.999999999999993,18.69158878504669,1.3922213167488735,1.5562776963686247,2.948499013117498,-15.743089771929192,14.773212031091052,-1.317198914512364
14.0,0.05,21.333333333333336,19.93769470404976,1.4021344393881918,1.6523099842894453,3.054444423677637,-16.883250280372124,14.678652908975499,-1.4117580366279174
14.25,0.05,22.666666666666664,21.18380062305289,1.4116979476497136,1.7474320005997015,3.159129948249415,-18.024670674803474,14.584109231329224,-1.5063017142741923
14.5,0.05,23.999999999999993,22.429906542056074,1.4209300177996056,1.8415843772444305,3.262514395044036,-19.167392147012038,14.489585082649754,-1.6008258629536627
14.75,0.05,25.333333333333336,23.676012461059088,1.429847587498557,1.9347747114715048,3.364622298970062,-20.311390162089026,14.39508441827489,-1.6953265273285272
15.0,0.05,26.666666666666664,24.922118380062273,1.4384664595438608,2.0270256217190763,3.465492081262937,-21.456626298799335,14.300611068761611,-1.7897998768418049
15.25,0.05,27.999999999999993,26.1682242990654,1.446801395368766,2.1183976497221693,3.565199045090935,-22.603025253974465,14.206168744087547,-1.8842422015158693
15.5,0.05,29.333333333333336,27.41433021806847,1.4548661994250551,2.2088323406030668,3.663698540028122,-23.75063167804035,14.111761037684232,-1.9786499079191842
15.75,0.05,30.666666666666664,28.6604361370716,1.4626737955160252,2.298338932797833,3.761012728313858,-24.89942340875774,14.017391430310118,-2.073019515293298
16.0,0.05,31.999999999999993,29.906542056074727,1.470236295912514,2.386926927020909,3.8571632229334227,-26.049378833141304,13.923063293770952,-2.167347651832465
16.25,0.05,33.333333333333336,31.152647975077798,1.477565064082114,2.4746773104238855,3.9522423745059996,-27.2004056005718,13.828779894495181,-2.2616310511082354
16.5,0.05,34.666666666666664,32.398753894080926,1.4846707716671972,2.5615340800435433,4.0462048517107405,-28.352549042370185,13.734544396970815,-2.3558665486326014
16.75,0.05,35.99999999999999,33.64485981308411,1.4915634503595356,2.6475011069218226,4.139064557281358,-29.505795255802752,13.640359867050531,-2.4500510785528853
17.0,0.05,37.333333333333336,34.89096573208715,1.4982525391550325,2.7325885461486905,4.230841085303723,-30.66012464678343,13.546229275130756,-2.5441816704726605
17.25,0.05,38.666666666666664,36.13707165109028,1.504746927497422,2.8168390542343786,4.3215859817318005,-31.81548566935848,13.45215549921073,-2.6382554463926855
17.5,0.05,39.99999999999999,37.38317757009344,1.511054994699066,2.900271410845562,4.411326405544628,-32.97185116454881,13.358141327836844,-2.7322696177665726
17.75,0.05,41.333333333333336,38.62928348909648,1.5171846460173128,2.982854285656572,4.500038931673885,-34.129244557422595,13.264189462937246,-2.8262214826661705
18.0,0.05,42.666666666666664,39.875389408099636,1.52314334571804,3.064598025768305,4.587741371486345,-35.28764803661329,13.17030252255195,-2.9201084230514667
18.25,0.05,43.99999999999999,41.12149532710279,1.5289381474018455,3.145512973572295,4.67445112097414,-36.44704420612865,13.076483043462465,-3.013927902140951
18.5,0.05,45.333333333333336,42.367601246105835,1.534575721859369,3.2256595747644496,4.760235296623819,-37.607365949482016,12.982733483725792,-3.107677461877625
18.75,0.05,46.666666666666664,43.61370716510899,1.5400623827033542,3.3050173909236946,4.845079773627049,-38.76862739148194,12.889056225116649,-3.2013547204867674
19.0,0.05,47.99999999999999,44.85981308411215,1.5454041099591223,3.3835765762096344,4.928980686168757,-39.93083239794339,12.795453575481949,-3.294957370121468
19.25,0.05,49.333333333333336,46.10591900311519,1.5506065717994488,3.4613473247485445,5.011953896547993,-41.0939651065672,12.701927771010999,-3.3884831745924178
19.5,0.05,50.666666666666664,47.35202492211832,1.5556751446271164,3.538339763985391,5.0940149086125075,-42.25801001350581,12.608480978425428,-3.4819299671779884
19.75,0.05,51.99999999999999,48.598130841121474,1.5606149316014353,3.614612437200435,5.17522736880187,-43.422903472319604,12.51511529709165,-3.5752956485117657
20.0,0.05,53.333333333333336,49.84423676012452,1.5654307797815363,3.690144320411605,5.255575100193141,-44.588661659931375,12.42183276105944,-3.6685781845439767
10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.187556715950763,0.0
10.25,0.1,1.3333333333333286,1.2461059190030142,0.58887950978135,0.1928234645891962,0.7817029743705461,-0.464402944632468,15.150830234650243,-0.036726481300519254
10.5,0.1,2.6666666666666643,2.492211838006199,1.1409608902438322,0.40285497530658176,1.543815865550414,-0.9483959724557849,15.11256700944072,-0.074989706510042
10.75,0.1,4.0,3.7383177570093267,1.6591699675254858,0.6281480722285551,2.287318039754041,-1.4509997172552858,15.072847078202853,-0.1147096377479091
11.0,0.1,5.333333333333329,4.984423676012398,2.146212493121766,0.8669166630788823,3.013129156200648,-1.9712945198117495,15.031744894640541,-0.15581182131022153
11.210476464413189,0.1,6.455874476870335,6.033527548476968,2.5339089406618314,1.077249053079754,3.6111579937415854,-2.4223695547353827,14.996119338455603,-0.1914373774951592
11.25,0.1,6.666666666666664,6.2305295950155255,2.536327824532009,1.1114580410087456,3.6477858655407545,-2.582743729474771,14.983438675797885,-0.2041180401528777
