time,soc,p_gen,p_batt,fuel,weight
0.0,0.8401496934987659,0.0,51.922909704309156,150.0,858.3035414500032
0.08333333333333333,0.20714301514702785,54.0,-2.0770902956908444,149.73,858.0335414500032
0.16666666666666666,0.07398323111001762,0.0,51.802498326308516,148.64999999999995,856.9535414500033
0.25,0.10854993210937647,54.0,-2.293694306917132,147.2999999999999,855.6035414500034
0.3333333333333333,0.14496604586647155,54.0,-2.413764511980567,145.94999999999985,854.2535414500035
0.4166666666666667,0.1832286547760971,54.0,-2.5336451765232937,144.5999999999998,852.9035414500036
0.5,0.22333484123304792,54.0,-2.653336300545334,143.24999999999974,851.5535414500036
0.5833333333333334,0.09881616435220669,54.0,-2.748952730588094,142.1699999999997,850.4735414500037
0.6666666666666666,0.14223343802922567,54.0,-2.868302681672901,140.81999999999965,849.1235414500038
0.75,0.18748611995899486,54.0,-2.9874630922370358,139.4699999999996,847.7735414500039
0.8333333333333334,0.2345712925363091,54.0,-3.106433962280498,138.11999999999955,846.423541450004
0.9166666666666666,0.11694868572317257,54.0,-3.2014741891403418,137.0399999999995,845.3435414500041
1.0,0.16732498910095034,54.0,-3.3201038862465637,135.68999999999946,843.9935414500042
1.0833333333333333,0.2195256138316982,54.0,-3.438544042832099,134.3399999999994,842.6435414500042
1.1666666666666667,0.10708442977362129,54.0,-3.5331596989256226,133.25999999999937,841.5635414500043
1.25,0.16256148057459768,54.0,-3.6512586825739106,131.90999999999931,840.2135414500044
1.3333333333333333,0.21985468343396927,54.0,-3.7691681257015404,130.55999999999926,838.8635414500045
1.4166666666666667,0.1124988885252902,54.0,-3.863359211028744,129.47999999999922,837.7835414500046
1.5,0.17305381272465553,54.0,-3.980927481219112,128.12999999999917,836.4335414500047
1.5833333333333333,0.23541671968784103,54.0,-4.0983062108887935,126.77999999999919,835.0835414500048
1.6666666666666667,0.13305126063824685,54.0,-4.19207272544967,125.6999999999992,834.0035414500048
1.75,0.19866118421119117,54.0,-4.309110282182111,124.34999999999923,832.6535414500049
1.8333333333333333,0.09975416792354497,54.0,-4.402603858393206,123.26999999999924,831.573541450005
1.9166666666666667,0.16860165506538274,54.0,-4.519300242188429,121.91999999999926,830.2235414500051
2.0,0.23924370398709605,54.0,-4.6358070854629645,120.56999999999928,828.8735414500052
2.0833333333333335,0.14514611326951643,54.0,-4.728876090907704,119.4899999999993,827.7935414500053
2.1666666666666665,0.2190110210298884,54.0,-4.845041761245007,118.13999999999932,826.4435414500053
2.25,0.12820331009046726,54.0,-4.937837828339958,117.05999999999933,825.3635414500054
2.3333333333333335,0.20528162364863262,54.0,-5.053662325740042,115.70999999999935,824.0135414500055
2.4166666666666665,0.11775389597051371,54.0,-5.14618545448522,114.62999999999937,822.9335414500056
2.5,0.1980361622856071,54.0,-5.261668778948035,113.27999999999939,821.5835414500057
2.5833333333333335,0.11370755581019594,54.0,-5.353918969343418,112.1999999999994,820.5035414500057
2.6666666666666665,0.19718432184135204,54.0,-5.469061120869036,110.84999999999943,819.1535414500058
2.75,0.11604538352778365,54.0,-5.5610383729146236,109.76999999999944,818.0735414500059
2.8333333333333335,0.2027071962341372,54.0,-5.675839351502994,108.41999999999946,816.723541450006
2.9166666666666665,0.12474847304154624,54.0,-5.767543665198815,107.33999999999948,815.6435414500061
3.0,0.2145858793822319,54.0,-5.882003470849959,105.9899999999995,814.2935414500062
3.0833333333333335,0.13972755958989802,54.0,-5.97343484619595,104.90999999999951,813.2135414500062
3.1666666666666665,0.2327311065240504,54.0,-6.087553478909868,103.55999999999953,811.8635414500063
3.25,0.1609641338854166,54.0,-6.178711915906106,102.47999999999955,810.7835414500064
3.3333333333333335,0.09087951421773816,0.0,47.70751062431723,101.39999999999957,809.7035414500065
3.4166666666666665,0.18843968664067928,54.0,-6.383374874329228,100.04999999999959,808.3535414500066
3.5,0.12143250298508182,54.0,-6.474139067042444,98.9699999999996,807.2735414500066
3.5833333333333335,0.22213570856826345,54.0,-6.587423721465335,97.61999999999962,805.9235414500067
3.6666666666666665,0.15812726956442535,54.0,-6.677914975828756,96.53999999999964,804.8435414500068
3.75,0.09571920111254983,0.0,47.209141542685586,95.45999999999965,803.7635414500069
3.8333333333333335,0.20094565478097112,54.0,-6.881076773328047,94.10999999999967,802.413541450007
3.9166666666666665,0.1415231200644853,54.0,-6.971173783408432,93.02999999999969,801.333541450007
4.0,0.24986949945992093,54.0,-7.083624459540324,91.67999999999971,799.9835414500071
4.083333333333333,0.19342379234489226,54.0,-7.173448531270921,90.59999999999972,798.9035414500072
4.166666666666667,0.1384978037908068,54.0,-7.2631512970682905,89.51999999999974,797.8235414500073
4.25,0.25133405386793295,54.0,-7.375109167846411,88.16999999999976,796.4735414500074
4.333333333333333,0.19937184538482627,54.0,-7.464538995293978,87.08999999999978,795.3935414500074
4.416666666666667,0.1489226799819532,54.0,-7.553847516808332,86.00999999999979,794.3135414500075
4.5,0.0999842235751493,0.0,46.33468741776737,84.92999999999981,793.2335414500076
4.583333333333333,0.21866208343216081,54.0,-7.754348165397225,83.57999999999983,791.8835414500077
4.666666666666667,0.17260159677931344,54.0,-7.843262442628529,82.49999999999984,790.8035414500077
4.75,0.12804528368687523,54.0,-7.932055413926612,81.41999999999986,789.7235414500078
4.833333333333333,0.2511674995843741,54.0,-8.042876041580598,80.06999999999988,788.3735414500079
4.916666666666667,0.20947655219140554,54.0,-8.131396074528901,78.9899999999999,787.293541450008
5.0,0.16921521832749548,54.0,-8.219794801543955,77.90999999999991,786.213541450008
5.083333333333333,0.1304493285492203,54.0,-8.308072222625782,76.82999999999993,785.1335414500081
5.166666666666667,0.09310878092598318,0.0,45.58175158749057,75.74999999999994,784.0535414500082
5.25,0.22336867779424452,54.0,-8.506252895241467,74.39999999999996,782.7035414500083
5.333333333333333,0.18887276920309826,54.0,-8.594136072040257,73.31999999999998,781.6235414500084
5.416666666666667,0.15579606412563793,54.0,-8.68189794290582,72.24,780.5435414500084
5.5,0.12413648522695757,54.0,-8.769538507838135,71.16000000000001,779.4635414500085
5.583333333333333,0.09389195517215077,0.0,45.12108137246509,70.08000000000003,778.3835414500086
5.666666666666667,0.23123806645535255,54.0,-8.966286254117449,68.73000000000005,777.0335414500087
5.75,0.20375042782575786,54.0,-9.05353257476672,67.65000000000006,775.9535414500087
