gen,nevals,max,avg,min
0,30,18.45,6.3003888888888895,0.0
1,23,18.45,4.876555555555555,0.0
2,18,18.45,8.739777777777778,0.0
3,26,19.05,10.121222222222222,0.0
4,17,19.05,13.797833333333333,0.0
5,15,19.1,14.842444444444446,0.0
6,24,19.15,16.046611111111112,0.0
7,22,19.2,17.136055555555558,0.0
8,23,19.25,14.597666666666667,0.0
9,25,19.25,16.55322222222222,0.0
10,24,19.25,16.583166666666667,0.0
