time_h,phase,altitude_m,speed_mps,p_req_kw,p_gen_kw,p_batt_kw,soc,s_factor,fuel_kg,fuel_used_kg,weight_kg,engine_load_pct,motor_power_kw,system_efficiency
0.0,takeoff,0.0,50.0,73.19103794808557,0.0,73.19103794808557,0.7606132898353921,1.9810563367554677,279.1806061889481,0.0,1000.0,0.0,73.19103794808557,0.8074999999999999
0.016666666666666666,takeoff,150.0,50.0,73.4711883518651,0.0,73.4711883518651,0.5203102887505812,1.8663134790424682,279.1806061889481,0.0,1000.0,0.0,73.4711883518651,0.8074999999999999
0.03333333333333333,climb,300.0,65.0,74.11366158572548,0.0,74.11366158572548,0.2779059435923094,2.6824093626167267,279.1806061889481,0.0,1000.0,0.0,74.11366158572548,0.8075
0.05,climb,420.0,65.0,74.10799555014219,76.0,-1.892004449857808,0.2840941427703224,4.262516193254215,278.8006061889481,0.37999999999999545,999.62,100.45642126285986,74.10799555014219,0.2192289891564531
0.06666666666666667,climb,540.0,65.0,74.08075569904797,76.0,-1.9192443009520304,0.2903714356204793,4.27399152485426,278.4206061889481,0.7599999999999909,999.24,100.45642126285986,74.08075569904797,0.2191484072303623
0.08333333333333333,climb,660.0,65.0,74.05985975033475,76.0,-1.940140249665248,0.2967170730734518,4.28571962460234,278.0406061889481,1.1399999999999864,998.86,100.45642126285986,74.05985975033475,0.21908659206885572
0.1,climb,780.0,65.0,74.04535528887705,76.0,-1.9546447111229526,0.303110150423554,4.297656583800095,277.6606061889481,1.5199999999999818,998.48,100.45642126285986,74.04535528887705,0.21904368443925348
0.11666666666666667,climb,900.0,65.0,74.03729120450144,76.0,-1.962708795498557,0.30952960306062144,4.309747936588094,277.2806061889481,1.8999999999999773,998.1,100.45642126285986,74.03729120450144,0.2190198289692328
0.13333333333333333,climb,1020.0,65.0,74.03571772020877,76.0,-1.9642822797912345,0.3159542021095841,4.321899247835664,276.90060618894813,2.2799999999999727,997.72,100.45642126285986,74.03571772020877,0.2190151742303159
0.15,climb,1140.0,65.0,74.04068642111692,76.0,-1.9593135788830836,0.3223625499753754,4.295177147461242,276.52060618894814,2.659999999999968,997.34,100.45642126285986,74.04068642111692,0.21902987282348974
0.16666666666666666,climb,1260.0,65.0,74.05225028414472,0.0,74.05225028414472,0.08015906341761664,2.6817557722666976,276.52060618894814,2.659999999999968,997.34,0.0,74.05225028414472,0.8074999999999999
0.18333333333333332,climb,1380.0,65.0,74.10034949016942,76.0,-1.899650509830579,0.0863722706457122,3.969376132152039,276.14060618894814,3.0399999999999636,996.96,100.45642126285986,74.10034949016942,0.21920637030154524
0.2,climb,1500.0,65.0,74.12550769813201,76.0,-1.8744923018679884,0.09250319265410542,3.975342072193619,275.76060618894815,3.419999999999959,996.58,100.45642126285986,74.12550769813201,0.21928079423461327
0.21666666666666667,climb,1620.0,65.0,74.15743213534498,76.0,-1.8425678646550239,0.09852969906446205,3.981528371101858,275.38060618894815,3.7999999999999545,996.2,100.45642126285986,74.15743213534498,0.21937523427509245
0.23333333333333334,climb,1740.0,65.0,74.19618171902013,76.0,-1.8038182809798684,0.10442946679729338,3.987886387648295,275.00060618894815,4.17999999999995,995.82,100.45642126285986,74.19618171902013,0.21948986471403864
0.25,climb,1860.0,65.0,74.2418169197022,76.0,-1.7581830802977976,0.11017997499145372,3.994365444796628,274.62060618894816,4.559999999999945,995.44,100.45642126285986,74.2418169197022,0.21962486443763415
0.26666666666666666,climb,1980.0,65.0,74.29439979589479,76.0,-1.7056002041052096,0.11575849981038629,4.000913161391318,274.24060618894816,4.939999999999941,995.0600000000001,100.45642126285986,74.29439979589479,0.21978041702961915
0.2833333333333333,climb,2100.0,65.0,74.35399402959013,76.0,-1.646005970409874,0.12114210913216159,4.0074757594506725,273.86060618894817,5.319999999999936,994.6800000000001,100.45642126285986,74.35399402959013,0.21995671087639776
0.3,climb,2220.0,65.0,74.42066496272953,76.0,-1.579335037270468,0.1263076571202642,4.013998349759577,273.4806061889482,5.699999999999932,994.3000000000001,100.45642126285986,74.42066496272953,0.22015393927489596
0.31666666666666665,climb,2340.0,65.0,74.49447963462156,76.0,-1.5055203653784446,0.13123177867199567,4.020425198834607,273.1006061889482,6.079999999999927,993.9200000000001,100.45642126285986,74.49447963462156,0.22037230054325405
0.3333333333333333,climb,2460.0,65.0,74.57550682034565,76.0,-1.4244931796543483,0.13589088374127,4.026699980640918,272.7206061889482,6.459999999999923,993.5400000000001,100.45642126285986,74.57550682034565,0.2206119981344332
0.35,climb,2580.0,65.0,74.66381707017035,76.0,-1.336182929829647,0.14026115153248384,4.03276601670809,272.3406061889482,6.839999999999918,993.1600000000001,100.45642126285986,74.66381707017035,0.22087324075282413
0.36666666666666664,climb,2700.0,65.0,74.75948275001588,76.0,-1.2405172499841228,0.14431852456204494,4.038566508551582,271.9606061889482,7.219999999999914,992.7800000000001,100.45642126285986,74.75948275001588,0.22115624247394486
0.38333333333333336,climb,2820.0,65.0,74.86257808299179,76.0,-1.1374219170082114,0.14803870258404334,4.044044766586635,271.5806061889482,7.599999999999909,992.4000000000001,100.45642126285986,74.86257808299179,0.2214612228673191
0.4,climb,2940.0,65.0,74.97317919204174,76.0,-1.0268208079582593,0.15139713637644348,4.049144440051718,271.2006061889482,7.9799999999999045,992.0200000000001,100.45642126285986,74.97317919204174,0.2217884071226293
0.4166666666666667,climb,3060.0,65.0,75.09136414372767,76.0,-0.9086358562723262,0.1543690213840713,4.05380975286899,270.8206061889482,8.3599999999999,991.6400000000001,100.45642126285986,75.09136414372767,0.22213802617924078
0.43333333333333335,climb,3180.0,65.0,75.21721299318814,76.0,-0.7827870068118585,0.15692929121455526,4.057985750894839,270.4406061889482,8.739999999999895,991.2600000000001,100.45642126285986,75.21721299318814,0.22251031685919923
0.45,climb,3300.0,65.0,75.35080783030472,76.0,-0.6491921696952829,0.15905261098327078,4.061618566692135,270.0606061889482,9.11999999999989,990.8800000000001,100.45642126285986,75.35080783030472,0.22290552200380168
0.4666666666666667,climb,3420.0,65.0,75.49223282711417,76.0,-0.5077671728858348,0.16071337050321285,4.064655708836597,269.6806061889482,9.499999999999886,990.5000000000001,100.45642126285986,75.49223282711417,0.22332389061385277
0.48333333333333334,climb,3540.0,65.0,75.64157428650162,76.0,-0.35842571349837726,0.16188567731560755,4.0670463839107835,269.3006061889482,9.879999999999882,990.1200000000001,100.45642126285986,75.64157428650162,0.22376567799371133
0.5,climb,3660.0,65.0,75.79892069221593,76.0,-0.20107930778407024,0.1625433495569378,4.068741860816651,268.9206061889482,10.259999999999877,989.7400000000001,100.45642126285986,75.79892069221593,0.22423114589924673
0.5166666666666667,climb,3780.0,65.0,75.96436276024444,76.0,-0.03563723975555888,0.16265990865793706,4.069695888950557,268.54060618894823,10.639999999999873,989.3600000000001,100.45642126285986,75.96436276024444,0.22472056268981827
0.5333333333333333,climb,3900.0,65.0,76.13799349159088,76.0,0.13799349159087626,0.16220857186996177,4.06986518426239,268.16060618894824,11.019999999999868,988.9800000000001,100.45642126285986,76.13799349159088,0.22512039783148574
0.55,climb,4020.0,65.0,76.31990822649662,76.0,0.3199082264966222,0.16116224461402176,4.069210000439552,267.78060618894824,11.399999999999864,988.6000000000001,100.45642126285986,76.31990822649662,0.22550806206630739
0.5666666666666667,climb,4140.0,65.0,76.51020470015126,76.0,0.5102047001512631,0.15949351264759765,4.067694806654086,267.40060618894825,11.779999999999859,988.2200000000001,100.45642126285986,76.51020470015126,0.22591303603332216
0.5833333333333334,climb,4260.0,65.0,76.70898309993709,76.0,0.7089830999370861,0.15717463404422782,4.06528909881348,267.02060618894825,12.159999999999854,987.8400000000001,100.45642126285986,76.70898309993709,0.2263354591686365
0.6,climb,4380.0,65.0,76.9163461242541,76.0,0.9163461242541047,0.15417753098069603,4.061968378517997,266.64060618894825,12.53999999999985,987.4600000000002,100.45642126285986,76.9163461242541,0.22677547198865247
0.6166666666666667,climb,4500.0,65.0,77.13239904297527,76.0,1.1323990429752655,0.1504737813264873,4.057715343579832,266.26060618894826,12.919999999999845,987.0800000000002,100.45642126285986,77.13239904297527,0.2272332160853898
0.6333333333333333,climb,4620.0,65.0,77.35724975958114,76.0,1.357249759581137,0.1460346100300194,4.0525213469057615,265.88060618894826,13.29999999999984,986.7000000000002,100.45642126285986,77.35724975958114,0.22770883412076035
0.65,climb,4740.0,65.0,77.59100887502699,76.0,1.5910088750269864,0.1408308802959835,4.046388198059459,265.50060618894827,13.679999999999836,986.3200000000002,100.45642126285986,77.59100887502699,0.22820246981975087
0.6666666666666666,climb,4860.0,65.0,77.83378975339487,76.0,1.8337897533948677,0.13483308454795576,4.039330405763177,265.1206061889483,14.059999999999832,985.9400000000002,100.45642126285986,77.83378975339487,0.22871426796246763
0.6833333333333333,climb,4980.0,65.0,78.0857085893874,76.0,2.0857085893873943,0.12801133517025653,4.031377992681241,264.7406061889483,14.439999999999827,985.5600000000002,100.45642126285986,78.0857085893874,0.22924437437499448
0.7,climb,5100.0,65.0,78.34688447771971,76.0,2.346884477719712,0.12033535502284833,4.022580060081222,264.3606061889483,14.819999999999823,985.1800000000002,100.45642126285986,78.34688447771971,0.22979293591901584
0.7166666666666667,climb,5220.0,65.0,78.61743948447038,76.0,2.617439484470381,0.1117744677228657,4.013009345471463,263.9806061889483,15.199999999999818,984.8000000000002,100.45642126285986,78.61743948447038,0.23036010048015573
0.7333333333333333,climb,5340.0,65.0,78.89749872045107,76.0,2.8974987204510683,0.1022975876861742,4.00276811037626,263.6006061889483,15.579999999999814,984.4200000000002,100.45642126285986,78.89749872045107,0.2309460169549783
0.75,climb,5460.0,65.0,79.1871904166601,76.0,3.1871904166601013,0.09187320992214244,3.9919958325566967,263.2206061889483,15.959999999999809,984.0400000000002,100.45642126285986,79.1871904166601,0.23155083523660022
0.7666666666666667,climb,5580.0,65.0,79.48664600188526,76.0,3.486646001885262,0.080469399574598,3.980879380304418,262.8406061889483,16.339999999999804,983.6600000000002,100.45642126285986,79.48664600188526,0.232174706198859
0.7833333333333333,climb,5700.0,65.0,79.79600018252363,76.0,3.7960001825236276,0.06805378120171562,3.9696666533995466,262.4606061889483,16.7199999999998,983.2800000000002,100.45642126285986,79.79600018252363,0.23281778167898276
0.8,climb,5820.0,65.0,80.11539102468946,76.0,4.115391024689458,0.05459352778735435,3.9586851481540957,262.0806061889483,17.099999999999795,982.9000000000002,100.45642126285986,80.11539102468946,0.23348021445870365
0.8166666666666667,climb,5940.0,65.0,80.44496003868325,76.0,4.444960038683249,0.04005534947612077,3.9483676485974204,261.7006061889483,17.47999999999979,982.5200000000002,100.45642126285986,80.44496003868325,0.23416215824375897
0.8333333333333334,cruise,6000.0,69.44444444444444,57.065385511246596,76.0,-18.934614488753404,0.10198499547885732,3.9392884477458048,261.3206061889483,17.859999999999786,982.1400000000002,100.45642126285986,57.065385511246596,0.16881291537549745
0.85,cruise,6000.0,69.44444444444444,57.03447905795472,76.0,-18.96552094204528,0.16401572754873842,3.991651062229067,260.9406061889483,18.23999999999978,981.7600000000002,100.45642126285986,57.03447905795472,0.16872148677237184
0.8666666666666667,cruise,6000.0,69.44444444444444,57.003584560372474,76.0,-18.996415439627526,0.22614750658209676,4.071839126002387,260.5606061889483,18.619999999999777,981.3800000000002,100.45642126285986,57.003584560372474,0.16863009353706473
0.8833333333333333,cruise,6000.0,69.44444444444444,56.972702018499874,76.0,-19.027297981500126,0.288380293475265,4.170487324352951,260.18060618894833,18.999999999999773,981.0000000000002,100.45642126285986,56.972702018499874,0.16853873566957622
0.9,cruise,6000.0,69.44444444444444,56.94183143233692,76.0,-19.05816856766308,0.3507140491245758,4.28199036649535,259.80060618894834,19.379999999999768,980.6200000000002,100.45642126285986,56.94183143233692,0.16844741316990622
0.9166666666666666,cruise,6000.0,69.44444444444444,56.91097280188362,0.0,56.91097280188362,0.16457472205322432,2.6823593139531168,259.80060618894834,19.379999999999768,980.6200000000002,0.0,56.91097280188362,0.8075
0.9333333333333333,cruise,6000.0,69.44444444444444,56.91097280188362,76.0,-19.089027198116383,0.22700940735501038,4.072655474267062,259.42060618894834,19.759999999999764,980.2400000000002,100.45642126285986,56.91097280188362,0.16835612603805478
0.95,cruise,6000.0,69.44444444444444,56.88012612713994,76.0,-19.11987387286006,0.2895449832056044,4.171955173162658,259.04060618894835,20.13999999999976,979.8600000000002,100.45642126285986,56.88012612713994,0.16826487427402187
